Country,Year,Disease Name,Disease Category,Prevalence Rate (%),Incidence Rate (%),Mortality Rate (%),Age Group,Gender,Population Affected,Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Treatment Type,Average Treatment Cost (USD),Availability of Vaccines/Treatment,Recovery Rate (%),DALYs,Improvement in 5 Years (%),Per Capita Income (USD),Education Index,Urbanization Rate (%)
Italy,2013,Malaria,Respiratory,0.95,1.55,8.42,0-18,Male,471007.0,57.74,3.34,7.58,Medication,21064.0,No,91.82,4493.0,2.16,16886.0,0.79,86.02
Turkey,2015,Covid-19,Genetic,0.91,2.35,6.22,36-60,Male,154878.0,56.41,4.07,3.49,Vaccination,27834.0,Yes,98.55,41.0,5.81,12245.0,0.41,40.2
Italy,2013,Tuberculosis,Genetic,0.83,13.59,7.01,61+,Male,472908.0,67.0,4.61,5.9,Medication,8908.0,Yes,50.06,2832.0,6.93,47701.0,0.5,48.14
Brazil,2010,Hiv/Aids,Autoimmune,0.13,13.99,1.46,36-60,Female,134964.0,69.35,5.0,0.55,Vaccination,14688.0,Yes,61.6,1804.0,7.23,57996.0,0.79,42.37
China,2014,Polio,Cardiovascular,0.55,0.85,3.83,36-60,Female,123270.0,62.89,1.19,1.36,Vaccination,18513.0,Yes,58.47,4739.0,4.47,99993.0,0.69,26.87
Brazil,2024,Diabetes,Genetic,0.73,9.28,1.09,19-35,Male,4233.0,54.43,2.58,3.1,Therapy,2078.0,No,61.8,386.0,3.23,73287.0,0.74,25.44
Canada,2015,Cholera,Respiratory,0.2,12.46,0.62,19-35,Male,997992.0,60.93,3.26,4.44,Therapy,10376.0,Yes,93.68,2406.0,4.59,72805.0,0.74,22.52
Indonesia,2011,Measles,Genetic,0.7,7.19,5.33,36-60,Other,622322.0,73.18,3.13,7.37,Vaccination,15470.0,Yes,52.66,26.0,8.16,54588.0,0.49,41.92
Uk,2020,Diabetes,Bacterial,0.64,7.28,1.91,19-35,Male,140343.0,53.97,1.9,9.73,Vaccination,33721.0,No,95.04,2041.0,6.01,58838.0,0.5,36.66
Italy,2016,Leprosy,Neurological,0.72,11.12,0.43,19-35,Female,628421.0,53.98,3.85,6.64,Vaccination,32105.0,Yes,96.37,107.0,7.41,92251.0,0.41,75.33
Turkey,2020,Parkinson'S Disease,Infectious,0.36,4.36,5.99,61+,Male,450804.0,60.51,2.37,3.4,Medication,42032.0,No,91.51,4691.0,4.91,34790.0,0.79,28.89
Italy,2015,Tuberculosis,Genetic,0.26,12.69,0.57,0-18,Male,564911.0,94.96,0.56,4.18,Therapy,21766.0,Yes,70.55,3140.0,1.89,56660.0,0.78,24.87
Turkey,2023,Malaria,Infectious,0.75,8.75,1.6,61+,Other,240932.0,86.48,2.01,4.94,Surgery,20928.0,Yes,84.66,1768.0,5.47,77451.0,0.69,39.02
Germany,2018,Hepatitis,Autoimmune,0.98,11.8,8.18,36-60,Male,25715.0,95.5,1.89,5.33,Therapy,32209.0,No,92.68,2007.0,6.07,91165.0,0.83,66.37
Indonesia,2010,Rabies,Bacterial,0.82,0.43,9.93,36-60,Male,703894.0,95.4,3.07,6.81,Surgery,39105.0,Yes,63.36,4531.0,0.17,13583.0,0.42,59.33
Turkey,2023,Parkinson'S Disease,Infectious,0.55,5.18,7.77,0-18,Female,235388.0,82.45,2.27,0.74,Therapy,13160.0,No,98.94,1745.0,7.32,29618.0,0.56,49.8
Uk,2016,Polio,Viral,0.69,2.74,6.19,0-18,Male,836072.0,57.61,4.99,7.99,Therapy,2167.0,Yes,57.51,3044.0,3.87,17827.0,0.83,75.95
Usa,2021,Ebola,Bacterial,0.42,1.58,7.45,36-60,Other,511296.0,84.07,2.07,6.42,Therapy,7716.0,No,95.79,4669.0,0.29,42880.0,0.61,73.91
South Korea,2020,Covid-19,Chronic,0.63,10.51,0.87,61+,Female,425518.0,88.83,4.97,2.44,Therapy,19807.0,Yes,60.1,1273.0,8.31,88721.0,0.54,36.46
Russia,2021,Influenza,Parasitic,0.24,0.29,6.53,61+,Female,921260.0,97.06,3.54,2.32,Therapy,8378.0,No,97.0,76.0,5.23,39382.0,0.56,69.76
Russia,2024,Malaria,Metabolic,0.21,10.34,1.96,0-18,Other,263477.0,98.49,2.27,2.66,Surgery,14088.0,No,52.76,1705.0,3.13,43233.0,0.61,75.08
Germany,2010,Covid-19,Chronic,0.32,5.83,2.61,61+,Male,601459.0,80.56,3.48,1.61,Surgery,25446.0,No,55.96,2808.0,6.06,48806.0,0.81,42.76
Russia,2018,Hypertension,Respiratory,0.21,3.51,5.3,36-60,Female,923561.0,53.62,3.7,5.3,Therapy,19439.0,No,77.38,2007.0,6.78,61038.0,0.5,71.89
Japan,2011,Hiv/Aids,Genetic,0.67,14.63,2.55,36-60,Male,133769.0,82.3,4.98,1.04,Surgery,35639.0,No,96.41,1673.0,5.83,56252.0,0.82,65.73
Mexico,2012,Cancer,Cardiovascular,0.35,4.84,1.48,61+,Female,815033.0,99.05,2.52,7.07,Vaccination,10946.0,No,71.51,211.0,0.84,65584.0,0.79,46.28
